Working Electrode (V),Current (mA)
0.538533,1.11267
0.539167,1.10227
0.539786,1.10631
0.540464,1.1102
0.541106,1.10436
0.541784,1.11081
0.5425,1.10613
0.543104,1.10774
0.543828,1.11353
0.544446,1.10524
0.54514,1.11455
0.545811,1.10501
0.54646,1.10771
0.547094,1.1109
0.547713,1.10399
0.548399,1.11426
0.549115,1.111
0.549756,1.11159
0.550487,1.11678
0.551076,1.10618
0.551762,1.11754
0.552351,1.10625
0.553074,1.11295
0.553783,1.1141
0.554461,1.1115
0.555162,1.11656
0.555767,1.11255
0.556356,1.1111
0.557079,1.11515
0.557713,1.10718
0.558406,1.11896
0.559145,1.10805
0.559756,1.11672
0.56045,1.11655
0.561039,1.11374
0.56171,1.12
0.562418,1.1159
0.563045,1.11806
0.563708,1.12124
0.564365,1.11393
0.564991,1.12443
0.56564,1.11279
0.566356,1.12343
0.566967,1.11973
0.567698,1.1193
0.568369,1.12605
0.569033,1.1191
0.569659,1.1238
0.57033,1.12443
0.570964,1.11836
0.571673,1.12991
0.572351,1.12096
0.573052,1.12902
0.573664,1.12474
0.574357,1.12765
0.574976,1.12982
0.575625,1.12481
0.576333,1.13009
0.577005,1.13077
0.577668,1.1235
0.578325,1.13529
0.578914,1.12387
0.579659,1.13204
0.580248,1.12938
0.580912,1.13137
0.581613,1.13678
0.582269,1.12963
0.582978,1.13308
0.583686,1.13629
0.584208,1.13342
0.584932,1.14254
0.585618,1.13148
0.586266,1.14185
0.586967,1.13505
0.587631,1.13667
0.58834,1.14213
0.588996,1.13992
0.589622,1.14429
0.590293,1.14502
0.590897,1.13966
0.591561,1.14958
0.592255,1.13634
0.59297,1.14928
0.593589,1.14107
0.594313,1.14656
0.594947,1.14976
0.595648,1.14564
0.596199,1.14914
0.596945,1.15056
0.597542,1.14827
0.598235,1.15776
0.598862,1.14613
0.59954,1.15845
0.600226,1.15113
0.600092,0.948
0.599443,0.69022
0.59875,0.489278
0.598034,0.350088
0.597378,0.23628
0.596707,0.151698
0.596035,0.091771
0.594686,0.00851285
0.594134,-0.00311709
0.592808,-0.058815
0.592247,-0.0799851
0.591501,-0.105361
0.59083,-0.126952
0.590152,-0.147673
0.589518,-0.161002
0.588847,-0.176298
0.588116,-0.185662
0.587452,-0.194765
0.586714,-0.203514
0.586065,-0.211021
0.585439,-0.219407
0.584753,-0.225767
0.584081,-0.232516
0.583418,-0.240674
0.582776,-0.244536
0.582143,-0.252387
0.581389,-0.256506
0.580763,-0.262831
0.580047,-0.269236
0.578573,-0.174876
0.578101,-0.203907
0.57743,-0.236226
0.576721,-0.255935
0.576057,-0.272396
0.575379,-0.290693
0.574753,-0.290673
0.574052,-0.310764
0.573462,-0.312388
0.572791,-0.322841
0.572113,-0.328724
0.571389,-0.328518
0.570785,-0.341134
0.570099,-0.343804
0.569406,-0.343707
0.568735,-0.354646
0.568048,-0.347177
0.567444,-0.36203
0.566766,-0.355968
0.56608,-0.365722
0.565431,-0.369632
0.5647,-0.367327
0.564201,-0.373722
0.5635,-0.375044
0.562799,-0.3796
0.562142,-0.387077
0.561471,-0.379629
0.5608,-0.392702
0.560166,-0.389159
0.559503,-0.396123
0.558861,-0.398116
0.558153,-0.397206
0.557497,-0.404928
0.556825,-0.404405
0.556154,-0.407661
0.555498,-0.41112
0.554864,-0.405159
0.554193,-0.418179
0.553499,-0.412743
0.552881,-0.422284
0.55215,-0.422948
0.551523,-0.42042
0.550882,-0.427756
0.550189,-0.424746
0.549547,-0.429369
0.548824,-0.432793
0.548197,-0.425988
0.547519,-0.439895
0.546892,-0.432666
0.546214,-0.442385
0.545595,-0.441144
0.544946,-0.438825
0.54429,-0.446422
0.543537,-0.4441
0.542895,-0.446609
0.542247,-0.449577
0.541605,-0.445027
0.540845,-0.458474
0.540181,-0.448471
0.539562,-0.457636
0.538876,-0.456037
0.538227,-0.453468
0.537586,-0.462426
0.536885,-0.45701
0.536221,-0.463714
0.535565,-0.465464
0.534909,-0.460528
0.534215,-0.47153
0.533551,-0.463893
0.53294,-0.470016
0.532224,-0.46804
0.531575,-0.46746
0.530874,-0.476161
0.530226,-0.469963
0.529584,-0.472413
0.528891,-0.475608
0.528302,-0.471521
0.527601,-0.48357
0.526982,-0.476228
0.526311,-0.484495
0.52561,-0.481314
0.524998,-0.479662
0.524305,-0.487145
0.523633,-0.480075
0.522977,-0.489279
0.522239,-0.488074
0.521613,-0.484039
0.520994,-0.49408
0.520315,-0.48541
0.519629,-0.494101
0.519002,-0.489134
0.518354,-0.488921
0.51769,-0.495568
0.517026,-0.486837
0.51637,-0.496354
0.515721,-0.495191
0.515095,-0.494624
0.514372,-0.50186
0.513663,-0.495158
0.512977,-0.502597
0.512298,-0.498512
0.511702,-0.501686
0.510971,-0.506441
0.510382,-0.497325
0.509733,-0.507655
0.509129,-0.488072
0.508555,-0.485653
0.507832,-0.496962
0.507175,-0.493753
0.506512,-0.50311
0.505811,-0.501505
0.505169,-0.50592
0.504468,-0.511254
0.503849,-0.504204
0.503134,-0.515497
0.502507,-0.51109
0.501851,-0.513336
0.50118,-0.517333
0.500486,-0.509812
0.499785,-0.517813
0.499114,-0.513754
0.498473,-0.517636
0.497839,-0.519992
0.497168,-0.511597
0.496489,-0.522195
0.495744,-0.51759
0.495117,-0.52057
0.494379,-0.524692
0.49379,-0.515036
0.493066,-0.527029
0.49241,-0.521189
0.491821,-0.522904
0.491157,-0.526755
0.490494,-0.519422
0.489845,-0.530381
0.489151,-0.522827
0.488547,-0.524993
0.487787,-0.525946
0.487175,-0.522427
0.486452,-0.531874
0.485863,-0.526046
0.485177,-0.530295
